source_id,b_mag,g_mag,r_mag,teff,d_parallax,d_gspphot,b_r_abs,g_abs
33191507499648,18.92517,18.205305,17.358774,3984.39,966.8576970333396,872.6062,1.560496000000001,8.267392205287928
33328946452480,19.130941,18.267248,17.393162,3773.9036,1189.7474499482544,664.9525,1.7357789999999997,7.88637408687838
33706905097856,19.600822,18.580967,17.493828,3394.8594,572.5958058903332,433.9205,2.0943940000000003,9.770726186962914
33779918580480,15.453951,14.988769,14.366438,4944.0435,1149.0520756695735,1047.2476,1.0850129999999996,4.682270442009223
35016869161600,16.401606,15.985419,15.404688,5204.6133,1430.891412090495,967.2961,0.9689180000000008,5.154885614287307
35223027626368,16.777794,16.004587,15.142896,4260.3574,652.1796878251273,695.9376,1.4627979999999998,6.6088506572335195
35287451314304,17.352327,16.948803,16.346209,5028.671,2634.006170422529,1084.1533,0.9982179999999972,4.83121905997422
35291747103360,14.566289,14.024188,13.332177,4764.425,329.2409472406956,343.9244,1.1479119999999996,6.274818787487115
35394826318080,15.637462,15.0701475,14.358969,4773.753,554.3572461037439,564.3255,1.1628929999999993,6.1322988567829295
35596688952320,12.953921,12.701134,12.2933,6772.3926,818.5244606988215,887.6041,0.501020999999999,2.83987568823766
35772783438976,16.798613,16.384365,15.797764,5041.8423,1551.5445664821052,1469.1805,0.9989489999999988,5.42704372624736
36077725299200,19.294373,17.88927,16.743488,3556.9253,603.8768536596432,736.2917,2.157985000000001,8.343828081967867
36283883727872,18.881365,17.750437,16.71462,3560.7878,638.0740900538016,488.331,2.001144999999999,8.44138145096045
36356898992896,17.292986,16.479822,15.615889,4471.874,660.9446090756209,694.4099,1.394297,6.841696676707887
36558761635584,19.631666,18.080471,16.897259,3421.7656,395.180146711695,793.7438,2.475607000000001,9.704195409366097
36666136637440,18.031595,17.33167,16.516626,4144.309,1160.1342141007476,789.6774,1.5093690000000006,6.998628825108643
36803575600128,16.267628,15.909903,15.383712,6035.1694,2155.7753494580843,1882.5681,0.6919159999999993,3.8887854919489175
37318971664640,14.226384,13.810619,13.2209015,5773.5273,700.4656609972823,680.7465,0.8044824999999993,4.208584751605061
37971806691072,14.507772,14.178606,13.678891,5958.2646,895.6838782126115,802.3408,0.7180809999999991,4.213432213812768
38070590127616,18.402456,17.18354,16.1065,3713.017,434.55847255448543,388.3015,1.9900560000000003,8.472098891252662
38173669344128,18.728828,17.535912,16.540232,3601.6035,611.8480070398209,512.9563,2.0699960000000006,8.399094251217903
38349763812096,15.9452305,15.268802,14.478705,4554.201,472.85876475728776,468.9022,1.3111254999999995,6.598544783054434
38590281983360,15.615467,15.113282,14.446024,4962.828,716.7602817557184,718.8885,1.0599430000000012,5.630412342428871
38693361197568,14.157207,13.818121,13.305795,5894.795,896.1438025864647,851.9548,0.7294119999999998,3.831032471451188
