source_id,b_mag,g_mag,r_mag,teff,d_parallax,d_gspphot,ebv_gspphot,b_r_abs,g_abs,logg_gspphot
147613731628800,18.696909,17.344791,16.15465,3529.0513,209.02229865141769,212.8558,0.4204,2.1218590000000015,10.04912790282539,4.9448
147751170581376,15.466847,15.047944,14.449246,5313.9487,827.4542326660187,679.5818,0.0583,0.9593009999999991,5.349724090784081,4.5984
147854249795968,17.19395,16.100079,15.059842,3754.4563,238.66699205775583,239.1512,0.2496,1.8845080000000012,8.776617201539661,4.7575
147987393179136,16.97601,16.538712,15.9562,5081.891,2130.003201922374,1560.004,0.0034,1.0164099999999978,4.890510718542995,4.4769
148026048510208,18.09128,17.138638,16.172693,3657.8447,644.677755285664,717.7272,0.014,1.9045870000000023,8.067424574672398,4.393
148056112656384,18.121717,17.242266,16.334063,4297.807,753.6987974850879,921.4835,0.2659,1.5217539999999998,7.360276888189331,4.5428
148502789252992,18.779675,17.378489,16.18927,3423.3289,278.2654018959771,272.6193,0.2595,2.3309050000000004,9.751692941375712,4.8323
148953761446272,9.999326,9.755156,9.351592,6463.407,182.73672543774518,271.5603,0.0661,0.5816339999999998,3.3237268086091465,3.882
149125560114176,18.195843,16.992867,15.910657,3653.3435,445.06272985027084,457.796,0.2865,1.9986859999999995,8.265860862985008,4.5016
149572236736384,15.056731,14.663007,14.106801,5427.259,872.3093321061012,812.6321,0.0554,0.8945299999999984,4.855754406734091,4.432
149881474381824,16.136791,15.557448,14.836834,4604.993,913.0163354415454,928.7709,0.0657,1.234256999999999,5.631155260583396,4.31
150014617740928,18.509968,17.291662,16.199305,3427.353,255.78496721183518,251.441,0.2145,2.0961630000000016,9.883186915565016,4.6972
150426934603648,18.113317,16.917564,15.820067,3611.521,262.44022247081364,256.4132,0.2618,2.0314499999999986,9.382312013813785,4.8673
150431230195328,18.05826,16.842327,15.747731,3597.8232,253.9224100487027,264.9399,0.2682,2.0423290000000005,9.363021842795586,4.7817
150461294342656,18.956295,17.883644,16.863066,3742.9873,576.6570876186447,481.6384,0.2279,1.865329000000001,8.679255828725294,4.8528
150564373560576,18.321798,17.246399,16.237999,3987.9983,862.9668596546649,766.8624,0.3243,1.7594990000000026,6.9893284104474915,4.4718
150770531985664,16.521587,16.117765,15.544009,5158.8286,1431.3463596806644,1320.1299,0.0012,0.9763779999999994,5.33684131094641,4.4562
151079769611904,12.238979,11.768476,11.132904,5107.048,401.0216530130194,395.4028,0.1034,1.0026750000000006,3.55813688589922,3.7605
151462022346240,15.152609,14.759245,14.194034,5178.0234,774.4921787814886,737.4689,0.0034,0.9551749999999998,5.307759818053199,4.4202
151736900252544,14.324702,13.860575,13.232442,5142.6323,333.40478742472413,327.1945,0.1043,0.9879599999999995,6.050715841718041,4.6467
152041842314112,16.557802,16.198324,15.678483,5484.1343,2167.902190134892,1290.5653,0.0097,0.8696189999999988,4.5002255794019455,4.5798
152110561793024,17.312475,16.84272,16.215359,4902.846,2374.565852107997,1281.2273,0.0024,1.0947159999999998,4.960298909709536,4.6288
152282360484480,16.380453,15.846769,15.163284,4607.1426,785.3446571306381,815.2537,0.0026,1.2145689999999985,6.36666753257799,4.4712
152385439705216,17.979126,17.41083,16.694176,4496.19,1560.3325809859475,1014.0367,0.0023,1.282650000000002,6.44044411498224,4.7484
152557238360960,15.316837,14.955788,14.427397,5851.6704,933.779838299569,871.3214,0.1231,0.7663400000000005,4.877265536850285,4.476
152660317613952,19.209366,17.702663,16.520306,3395.9443,273.08414504470755,263.2684,0.3277,2.3613599999999977,9.998380568863382,4.6988
152733332663808,15.73671,15.306232,14.700316,5473.6133,1006.4886130075157,727.6911,0.1729,0.8634939999999995,4.97278767087105,4.5742
153656749988352,15.823571,14.983184,14.081988,4297.9766,309.46268171259464,322.4099,0.2599,1.4816829999999985,7.042742576570987,4.5749
153661045600000,16.180075,15.777213,15.208033,5448.26,1583.893842635991,863.6409,0.1026,0.8694419999999983,4.589782647515353,4.6251
153729765076864,15.643135,15.339785,14.858177,6151.8975,1437.5629862131595,1156.279,0.1193,0.6656579999999996,4.333950588963699,4.4417
153794188988928,18.331512,17.235579,16.197138,3607.8174,589.1779658017034,429.9867,0.18,1.9543740000000012,8.071646516798674,4.4135
153897268156288,13.076395,12.691097,12.131869,5779.248,856.2891545085281,884.3415,0.1702,0.7743259999999997,2.7115947829094704,3.7481
153935923508992,12.824737,12.503699,12.011997,5756.9365,583.1712915416016,565.4789,0.0217,0.7910400000000015,3.634418318443103,3.9611
154343944787328,16.25055,15.864447,15.299966,5442.971,1906.3706071781264,1239.6876,0.0574,0.893184000000001,4.355810333266966,4.4799
154378304526208,19.908453,18.559925,17.407265,3349.6626,789.839985146504,417.3534,0.1096,2.3915880000000027,8.898429420806167,4.626
154382600107392,15.809661,15.384974,14.771911,5310.245,923.0614953258257,668.5565,0.1325,0.9052500000000008,5.3137208242798515,4.6247
154653182438528,19.226845,18.15331,17.161514,3558.9978,735.9617207355814,594.3318,0.095,1.9703310000000005,8.645533869247572,4.395
154721901916928,17.854147,16.65919,15.580378,3664.4695,332.51331946662674,337.5775,0.3138,1.9599690000000014,8.511244767518662,4.5176
154829276705920,16.789482,15.453691,14.308687,3485.0435,127.14656604434754,127.26,0.2193,2.2614949999999987,9.582767823455118,4.8159
154893700610816,18.92847,17.900585,17.254242,4039.446,810.6470078475694,858.0021,0.0182,1.6560279999999994,8.32272607984756,4.7783
155306017466624,16.608952,16.09308,15.348067,4670.717,753.018401488668,1150.0706,0.0812,1.1796849999999983,6.557852054140319,4.2897
155409096685312,17.956161,17.646719,17.175758,5657.139,1910.2853049193704,2199.2346,0.002,0.7784030000000033,6.237627825806253,4.7281
155413392234624,17.244726,16.527365,15.712481,4348.252,686.6450956087555,810.6676,0.1221,1.4101449999999995,7.11270338781009,4.5291
155546535642752,20.356,18.708635,17.493944,3162.1128,251.2363848834419,229.7711,0.0219,2.8401560000000026,11.676122322090269,5.0862
