# wave is rest wavelength in Angstroms
# flux in 1e-18 erg s^-1 cm^-2 Angstrom^-1
wave,flux
5.085474047410780258e+03,6.797531405220783030e-02
5.088322510517136834e+03,1.012386664899937727e-01
5.091170973623494319e+03,8.265161708143158037e-02
5.094019436729850895e+03,1.051784852437140372e-01
5.096867899836207471e+03,8.206408069031979891e-02
5.099716362942563137e+03,1.254215307848709493e-01
5.102564826048919713e+03,8.286486493740456705e-02
5.105413289155276289e+03,1.031193369938656346e-01
5.108261752261632864e+03,8.575470795766997056e-02
5.111110215367988530e+03,4.490782395311773700e-02
5.113958678474345106e+03,8.303203718286694679e-02
5.116807141580702591e+03,6.388683489823156203e-02
5.119655604687059167e+03,8.999778428595175961e-02
5.122504067793414833e+03,1.002791513020299674e-01
5.125352530899771409e+03,7.469907483892877786e-02
5.128200994006127985e+03,5.945428104714911566e-02
5.131049457112484561e+03,1.223861121303305988e-01
5.133897920218840227e+03,1.545669694008849383e-02
5.136746383325196803e+03,7.753467302818463358e-02
5.139594846431553378e+03,1.079619940146368667e-01
5.142443309537910864e+03,3.135384402726265618e-02
5.145291772644267439e+03,3.963768170862404933e-02
5.148140235750623106e+03,1.722021700218975826e-02
5.150988698856979681e+03,5.131189784950354604e-02
5.153837161963336257e+03,8.794950566335406686e-03
5.156685625069692833e+03,2.878007392463612785e-02
5.159534088176048499e+03,-5.367752018362733496e-02
5.162382551282405075e+03,3.327418930146312098e-02
5.165231014388761650e+03,5.862149255967074452e-02
5.168079477495119136e+03,7.051338848802922443e-02
5.170927940601474802e+03,6.699245523161125038e-02
5.173776403707831378e+03,5.997958125175802124e-02
5.176624866814187953e+03,5.383868112240802056e-02
5.179473329920544529e+03,1.111276354880109812e-01
5.182321793026900195e+03,1.298069933873277904e-01
5.185170256133256771e+03,9.763131925863570426e-02
5.188018719239613347e+03,4.653017346796484155e-02
5.190867182345969923e+03,1.161620103389477271e-01
5.193715645452327408e+03,1.197107686828590423e-01
